R_NanoG0957	R02241
R_NanoG0958	R02241
R_NanoG0467	R02570
R_NanoG0811	R00238
R_NanoG0885	R00927
R_NanoG0886	R00927
R_NanoG1175	R00927
R_NanoG1176	R00927
R_NanoG0584	R00351
R_NanoG0265	R01978
R_NanoG0279	R01213
R_NanoG0582	R00352
R_NanoG0548	R00472
R_NanoG0549	R00472
R_NanoG0550	R00472
R_NanoG0923	R06867
R_NanoG0924	R06867
R_NanoG0925	R06867
R_NanoG0926	R06867
R_NanoG0927	R06867
R_NanoG0928	R06867
R_NanoG1620	R06867
R_NanoG0639	R01005
R_NanoG0884	R00853
R_NanoG0569	R02737
R_NanoG1692	R04472
R_NanoG1693	R04472
R_NanoG1694	R04472
R_NanoG1695	R04472
R_NanoG1696	R04472
R_NanoG1697	R04472
R_NanoG1698	R04472
R_NanoG1699	R04472
R_NanoG1700	R04472
R_NanoG1701	R04472
R_NanoG1702	R04472
R_NanoG1703	R04472
R_NanoG1704	R04472
R_NanoG1705	R04472
R_NanoG1610	R07265
R_NanoG0960	R04469
R_NanoG0961	R04469
R_NanoG0962	R04469
R_NanoG0963	R04469
R_NanoG0964	R04469
R_NanoG0965	R04469
R_NanoG0966	R04469
R_NanoG0967	R04469
R_NanoG0968	R04469
R_NanoG0969	R04469
R_NanoG0970	R04469
R_NanoG0971	R04469
R_NanoG1628	R04469
R_NanoG1629	R04469
R_NanoG0561	R10525
R_NanoG0559	R03118
R_NanoG0972	R02691
R_NanoG0973	R02691
R_NanoG0974	R02691
R_NanoG0975	R02691
R_NanoG0976	R02691
R_NanoG0977	R02691
R_NanoG0978	R02691
R_NanoG0979	R02691
R_NanoG0980	R02691
R_NanoG0981	R02691
R_NanoG0982	R02691
R_NanoG0983	R02691
R_NanoG1630	R02691
R_NanoG1631	R02691
R_NanoG0637	R01009
R_NanoG0153	R04558
R_NanoG1453	R01561
R_NanoG1454	R02557
R_NanoG1455	R01969
R_NanoG1456	R02748
R_NanoG1457	R01863
R_NanoG1458	R02147
R_NanoG1506	R02297
R_NanoG1715	R02484
R_NanoG1540	R01870
R_NanoG1472	R01072
R_NanoG1473	R01072
R_NanoG0151	R01071
R_NanoG0205	R01073
R_NanoG1216	R03348
R_NanoG1322	R04148
R_NanoG1507	R02142
R_NanoG1538	R01876
R_NanoG1500	R00190
R_NanoG1450	R01229
R_NanoG1451	R01132
R_NanoG1564	R00966
R_NanoG1280	R07411
R_NanoG1438	R01658
R_NanoG1439	R01658
R_NanoG1436	R02003
R_NanoG1437	R02003
R_NanoG1116	R00702
R_NanoG1203	R03067
R_NanoG0084	R01920
R_NanoG1305	R07268
R_NanoG1306	R07268
R_NanoG1307	R01492
R_NanoG1308	R01492
R_NanoG0193	R03460
R_NanoG1429	R02061
R_NanoG1340	R03223
R_NanoG1433	R06447
R_NanoG1418	R02065
R_NanoG1419	R02065
R_NanoG1355	R05615
R_NanoG1356	R05615
R_NanoG1357	R05616
R_NanoG1358	R05616
R_NanoG1033	R04158
R_NanoG1583	R05329
R_NanoG1600	R07477
R_NanoG0066	R03132
R_NanoG0086	R00897
R_NanoG0104	R03217
R_NanoG0105	R03217
R_NanoG0106	R02508
R_NanoG0107	R02508
R_NanoG0078	R00651
R_NanoG0098	R01287
R_NanoG0211	R01826
R_NanoG0088	R00177
R_NanoG1273	R00084
R_NanoG1296	R06284
R_NanoG0323	R00660
R_NanoG1325	R04457
R_NanoG1326	R04457
R_NanoG1321	R00066
R_NanoG0002	R00355
R_NanoG0003	R00355
R_NanoG0004	R00355
R_NanoG0067	R02433
R_NanoG0068	R02433
R_NanoG0186	R00694
R_NanoG0187	R00694
R_NanoG0033	R02283
R_NanoG0034	R02283
R_NanoG0049	R00667
R_NanoG0005	R00576
R_NanoG0024	R00768
R_NanoG0167	R04475
R_NanoG0026	R00258
R_NanoG0027	R00258
R_NanoG1376	R01148
R_NanoG0128	R00372
R_NanoG0251	R01090
R_NanoG0257	R02199
R_NanoG0258	R02199
R_NanoG0280	R01214
R_NanoG0281	R01214
R_NanoG0282	R01214
R_NanoG0018	R00369
R_NanoG0019	R00369
R_NanoG1350	R00734
R_NanoG1351	R00734
R_NanoG1352	R00734
R_NanoG1691	R07396
R_NanoG0113	R04173
R_NanoG1363	R05085
R_NanoG0180	R00692
R_NanoG0239	R09254
R_NanoG0212	R01956
R_NanoG0213	R04171
R_NanoG0189	R01731
R_NanoG0190	R07276
R_NanoG0166	R07613
R_NanoG1206	R01716
R_NanoG0144	R03243
R_NanoG0145	R03243
R_NanoG0092	R04143
R_NanoG0371	R02732
R_NanoG0940	R02240
R_NanoG0941	R02240
R_NanoG0942	R02240
R_NanoG0943	R02240
R_NanoG0944	R02240
R_NanoG0945	R02240
R_NanoG0946	R02240
R_NanoG0947	R02240
R_NanoG0948	R02240
R_NanoG1688	R02240
R_NanoG0640	R01018
R_NanoG0447	R04779
R_NanoG0481	R03433
R_NanoG0477	R03479
R_NanoG1434	R05634
R_NanoG0468	R03394x
R_NanoG0483	R05800
R_NanoG0484	R05801
R_NanoG0485	R10065
R_NanoG0487	R05202
R_NanoG0476	R03428
R_NanoG0508	R01639
R_NanoG0588	R01523
R_NanoG0423	R01600
R_NanoG1706	R01600
R_NanoG1526	R00185
R_NanoG1527	R00185
R_NanoG1223	R00104
R_NanoG1224	R00104
R_NanoG1225	R00104
R_NanoG1246	R00130
R_NanoG1522	R00509
R_NanoG1523	R00509
R_NanoG1524	R00509
R_NanoG1329	R00549
R_NanoG1330	R00549
R_NanoG0915	R01011
R_NanoG0921	R00847
R_NanoG0134	R01514
R_NanoG1082	R01021
R_NanoG1083	R01021
R_NanoG1248	R03018
R_NanoG1249	R03018
R_NanoG1367	R02493
R_NanoG1368	R00174
R_NanoG0130	R01771
R_NanoG0375	R00760
R_NanoG0424	R00200
R_NanoG0425	R00200
R_NanoG0426	R00200
R_NanoG0427	R00200
R_NanoG0428	R00200
R_NanoG0429	R00200
R_NanoG0430	R00200
R_NanoG0431	R00200
R_NanoG0432	R00200
R_NanoG0433	R00200
R_NanoG0434	R00200
R_NanoG0435	R00200
R_NanoG1565	R00964
R_NanoG1566	R00968
R_NanoG0373	R03161
R_NanoG0393	R01092
R_NanoG0394	R01092
R_NanoG0203	R02412
R_NanoG1040	R01468
R_NanoG0360	R02073
R_NanoG1092	R01926
R_NanoG1093	R02976
R_NanoG0041	R00239
R_NanoG0411	R01512
R_NanoG0412	R01512
R_NanoG0413	R01512
R_NanoG0122	R00480
R_NanoG0035	R02649
R_NanoG1446	R00333
R_NanoG1542	R00158
R_NanoG1543	R01665
R_NanoG1481	R00127
R_NanoG1512	R01137
R_NanoG1513	R01137
R_NanoG1514	R01857
R_NanoG1515	R01857
R_NanoG1516	R00330
R_NanoG1517	R00330
R_NanoG1545	R02331
R_NanoG1546	R02331
R_NanoG1552	R00570
R_NanoG1553	R00570
R_NanoG1569	R02326
R_NanoG1570	R02326
R_NanoG1571	R02093
R_NanoG1572	R02093
R_NanoG1573	R00156
R_NanoG1574	R00156
R_NanoG1448	R00332
R_NanoG1544	R02094
R_NanoG0527	R01049
R_NanoG0528	R01049
R_NanoG1339	R00619
R_NanoG1202	R03503
R_NanoG1495	R00429
R_NanoG0312	R01471
R_NanoG1029	R02038
R_NanoG1036	R01890
R_NanoG1209	R03005
R_NanoG1327	R00161
R_NanoG1328	R00161
R_NanoG0326	R00416
R_NanoG1241	R03035
R_NanoG1242	R03035
R_NanoG0366	R01951
R_NanoG1388	R04929
R_NanoG1482	R00529
R_NanoG0929	R01799
R_NanoG0930	R01799
R_NanoG0931	R01799
R_NanoG0932	R01799
R_NanoG0933	R01799
R_NanoG0934	R01799
R_NanoG0935	R01799
R_NanoG0936	R01799
R_NanoG0937	R01799
R_NanoG0938	R01799
R_NanoG0939	R01799
R_NanoG1625	R01799
R_NanoG1626	R01799
R_NanoG1627	R01799
R_NanoG1684	R01799
R_NanoG1685	R01799
R_NanoG1686	R01799
R_NanoG1687	R01799
R_NanoG0497	R01381
R_NanoG0625	R00530
R_NanoG1459	R00126
R_NanoG1423	R05633
R_NanoG0345	R07678
R_NanoG0506	R00289
R_NanoG0489	R01802
R_NanoG0490	R01802
R_NanoG1644	R01802
R_NanoG1645	R01802
R_NanoG1646	R01802
R_NanoG1647	R01802
R_NanoG1648	R01802
R_NanoG1649	R01802
R_NanoG0641	R05630
R_NanoG0642	R05629
R_NanoG0643	R05629
R_NanoG0638	R01007
R_NanoG1054	R01321
R_NanoG1055	R01321
R_NanoG1056	R01321
R_NanoG1057	R01321
R_NanoG1058	R01321
R_NanoG1059	R01321
R_NanoG1632	R01321
R_NanoG1385	R05165
R_NanoG1386	R08868
R_NanoG1387	R08869
R_NanoG1071	R01801
R_NanoG1072	R01801
R_NanoG1073	R01801
R_NanoG1074	R01801
R_NanoG1075	R01801
